t,hb_cnt,pedal_cnt,resist_pct,hb_bpm
1551925193.3870106,0,0,0.62,240.0
1551925194.590128,0,0,0.62,240.0
1551925195.4964228,0,0,0.62,240.0
1551925196.4339304,0,0,0.62,240.0
1551925197.4807436,0,0,0.62,240.0
1551925198.5901644,1,0,0.62,1.12
1551925199.5009747,2,0,0.62,218.18
1551925200.454112,0,0,0.62,218.18
1551925201.4853547,1,0,0.62,44.61
1551925202.5634804,0,1,0.62,44.61
1551925203.4821541,1,0,0.62,22.22
1551925204.5290349,1,1,0.62,200.0
1551925205.4821384,3,1,0.62,164.38
1551925206.5758896,1,1,0.62,92.31
1551925207.4977932,2,1,0.62,92.31
1551925208.4509134,0,1,0.62,92.31
1551925209.5133958,1,1,0.63,31.33
1551925210.4508958,1,1,0.62,94.49
1551925211.575901,2,1,0.62,95.24
1551925212.560302,2,1,0.62,94.49
1551925213.4977398,0,1,0.62,94.49
1551925214.5758643,1,1,0.62,31.01
1551925215.482116,0,1,0.62,31.01
1551925216.5759006,0,1,0.62,31.01
1551925217.497807,0,1,0.62,31.01
1551925218.546016,1,1,0.62,18.72
1551925219.530393,1,1,0.62,47.62
1551925220.608562,1,1,0.62,47.81
1551925221.6710556,2,1,0.62,97.56
1551925222.5929484,1,1,0.62,97.56
1551925223.5304365,1,1,0.62,49.18
1551925224.624189,1,1,0.63,49.38
1551925225.561688,0,1,0.62,49.38
1551925226.7158098,0,1,0.62,49.38
1551925227.6353145,1,1,0.62,24.95
1551925228.5884056,2,0,0.62,272.73
1551925230.600632,0,0,0.62,272.73
